id,timestamp,frequency_hz,rssi_dbm,source_file
6,2025-04-22 12:35:04.067355,5500000000.0,-51.58,10
7,2025-04-22 12:35:08.382725,5500000000.0,-56.1,10
8,2025-04-22 12:35:12.672843,5500000000.0,-57.77,10
9,2025-04-22 12:35:16.970664,5500000000.0,-54.72,10
10,2025-04-22 12:35:21.304108,5500000000.0,-56.76,10
11,2025-04-22 12:35:25.638605,5500000000.0,-57.51,10
12,2025-04-22 12:35:29.975526,5500000000.0,-55.72,10
13,2025-04-22 12:35:34.272613,5500000000.0,-55.33,10
14,2025-04-22 12:35:38.601658,5500000000.0,-55.52,10
15,2025-04-22 12:35:42.886894,5500000000.0,-62.73,10
16,2025-04-22 12:35:47.183384,5500000000.0,-68.51,10
17,2025-04-22 12:35:51.547136,5500000000.0,-59.22,10
18,2025-04-22 12:35:55.841210,5500000000.0,-58.87,10
19,2025-04-22 12:36:00.180653,5500000000.0,-65.67,10
20,2025-04-22 12:36:04.506494,5500000000.0,-62.53,10
21,2025-04-22 12:36:08.900193,5500000000.0,-59.51,10
22,2025-04-22 12:36:13.269172,5500000000.0,-69.64,10
23,2025-04-22 12:36:17.595216,5500000000.0,-56.55,10
24,2025-04-22 12:36:21.994658,5500000000.0,-59.06,10
25,2025-04-22 12:36:26.284984,5500000000.0,-61.69,10
26,2025-04-22 12:36:30.586646,5500000000.0,-57.74,10
27,2025-04-22 12:36:34.999146,5500000000.0,-60.06,10
1,2025-04-22 12:37:28.233166,5500000000.0,-50.41,11
2,2025-04-22 12:37:32.567563,5500000000.0,-46.36,11
3,2025-04-22 12:37:36.909012,5500000000.0,-50.44,11
4,2025-04-22 12:37:41.274047,5500000000.0,-50.39,11
5,2025-04-22 12:37:45.616677,5500000000.0,-58.81,11
6,2025-04-22 12:37:50.040780,5500000000.0,-58.4,11
7,2025-04-22 12:37:54.439185,5500000000.0,-51.65,11
8,2025-04-22 12:37:58.880088,5500000000.0,-51.46,11
9,2025-04-22 12:38:03.314167,5500000000.0,-50.6,11
10,2025-04-22 12:38:07.628512,5500000000.0,-51.1,11
11,2025-04-22 12:38:11.890987,5500000000.0,-52.26,11
12,2025-04-22 12:38:16.171767,5500000000.0,-50.31,11
13,2025-04-22 12:38:20.588589,5500000000.0,-49.6,11
14,2025-04-22 12:38:24.915694,5500000000.0,-49.61,11
15,2025-04-22 12:38:29.233539,5500000000.0,-63.77,11
16,2025-04-22 12:38:33.556609,5500000000.0,-65.96,11
17,2025-04-22 12:38:37.900426,5500000000.0,-61.18,11
18,2025-04-22 12:38:42.212063,5500000000.0,-60.62,11
19,2025-04-22 12:38:46.525163,5500000000.0,-59.22,11
20,2025-04-22 12:38:50.862525,5500000000.0,-55.54,11
21,2025-04-22 12:38:55.214893,5500000000.0,-57.06,11
22,2025-04-22 12:38:59.518213,5500000000.0,-65.41,11
23,2025-04-22 12:39:03.818861,5500000000.0,-52.04,11
24,2025-04-22 12:39:08.169198,5500000000.0,-55.01,11
25,2025-04-22 12:39:12.491227,5500000000.0,-54.62,11
26,2025-04-22 12:39:16.812785,5500000000.0,-54.24,11
27,2025-04-22 12:39:21.154119,5500000000.0,-55.06,11
1,2025-04-22 12:41:05.854301,5500000000.0,-50.92,12
2,2025-04-22 12:41:10.234030,5500000000.0,-48.81,12
3,2025-04-22 12:41:14.538219,5500000000.0,-50.92,12
4,2025-04-22 12:41:18.913031,5500000000.0,-50.7,12
5,2025-04-22 12:41:23.322440,5500000000.0,-54.2,12
6,2025-04-22 12:41:27.665128,5500000000.0,-54.84,12
7,2025-04-22 12:41:31.987879,5500000000.0,-54.06,12
8,2025-04-22 12:41:36.332934,5500000000.0,-54.01,12
9,2025-04-22 12:41:40.642257,5500000000.0,-52.9,12
10,2025-04-22 12:41:45.068728,5500000000.0,-51.69,12
11,2025-04-22 12:41:49.469401,5500000000.0,-53.58,12
12,2025-04-22 12:41:53.830428,5500000000.0,-51.99,12
13,2025-04-22 12:41:58.156564,5500000000.0,-51.68,12
14,2025-04-22 12:42:02.487546,5500000000.0,-51.64,12
15,2025-04-22 12:42:06.861982,5500000000.0,-72.91,12
16,2025-04-22 12:42:11.114761,5500000000.0,-62.39,12
