M,N,R,Phi
-2,-6,1.7392745614192142,0.5304923347591625
-2,-5,1.7494787795226325,0.5403532380566916
-2,-4,1.7598511300675406,0.5500988418200006
-2,-3,1.7703886578940795,0.5597293376795935
-2,-2,1.781088431268925,0.5692449981675717
-2,-1,1.791947543875099,0.5786461725362504
-2,0,1.8029631166499218,0.5879332826301007
-2,1,1.814132299475427,0.5971068188224428
-2,2,1.825452272725858,0.6061673360270639
-2,3,1.8369202486771166,0.6151154497937277
-2,4,1.8485334727832223,0.6239518324953791
-2,5,1.8602892248250003,0.6326772096137625
-2,6,1.8721848199363225,0.6412923561291322
-2,7,1.884217609513296,0.6497980930187531
-1,-8,1.7192350042969693,0.5104723123895444
-1,-7,1.7290948499142549,0.5205646291874922
-1,-6,1.7391288048905407,0.5305414966652343
-1,-5,1.7493338732214614,0.5404029324117476
-1,-4,1.7597070778967732,0.550149043407287
-1,-3,1.7702454632055973,0.5597800217725606
-1,-2,1.7809460968822162,0.5692961405445434
-1,-1,1.7918060720959732,0.5786977494929848
-1,0,1.8028225092892534,0.5879852709903431
-1,1,1.813992557867865,0.5971591959465737
-1,2,1.8253133977484526,0.6062200798189445
-1,3,1.8367822407678054,0.615168538705846
-1,4,1.848396331959139,0.6240052455324013
-1,5,1.86015295070056,0.6327309263345956
-1,6,1.8720494117410469,0.6413463566475893
-1,7,1.8840830661093477,0.6498523580029344
0,-8,1.7191858538273284,0.5104883219167758
0,-7,1.729045979724079,0.5205808334916594
0,-6,1.7390802166662698,0.5305578870294475
0,-5,1.7492855684535902,0.5404195002705842
0,-4,1.7596590578859304,0.5501657803531801
0,-3,1.770197729068705,0.5597969195614244
0,-2,1.7808986495586996,0.5693131911006618
0,-1,1.791758912354003,0.5787149449131989
0,0,1.8027756377319946,0.5880026035475675
0,1,1.8139459749397169,0.5971766580926776
0,2,1.825267103741258,0.606237664187033
0,3,1.8367362358270172,0.6151862381119738
0,4,1.8483506160899237,0.624023052976757
0,5,1.8601075237738274,0.632748835002183
0,6,1.8720042734993958,0.6413643599084535
0,7,1.88403821617291,0.6498704494119476
1,-8,1.7192350042969693,0.5104723123895444
1,-7,1.7290948499142549,0.5205646291874922
1,-6,1.7391288048905407,0.5305414966652343
1,-5,1.7493338732214614,0.5404029324117476
1,-4,1.7597070778967732,0.550149043407287
1,-3,1.7702454632055973,0.5597800217725606
1,-2,1.7809460968822162,0.5692961405445434
1,-1,1.7918060720959732,0.5786977494929848
1,0,1.8028225092892534,0.5879852709903431
1,1,1.813992557867865,0.5971591959465737
1,2,1.8253133977484526,0.6062200798189445
1,3,1.8367822407678054,0.615168538705846
1,4,1.848396331959139,0.6240052455324013
1,5,1.86015295070056,0.6327309263345956
1,6,1.8720494117410469,0.6413463566475893
1,7,1.8840830661093477,0.6498523580029344
2,-8,1.7193824472757653,0.5104242929058591
2,-7,1.729241452198044,0.5205160254204904
2,-6,1.7392745614192142,0.5304923347591625
2,-5,1.7494787795226325,0.5403532380566916
2,-4,1.7598511300675406,0.5500988418200006
2,-3,1.7703886578940795,0.5597293376795935
2,-2,1.781088431268925,0.5692449981675717
2,-1,1.791947543875099,0.5786461725362504
2,0,1.8029631166499218,0.5879332826301007
2,1,1.814132299475427,0.5971068188224428
2,2,1.825452272725858,0.6061673360270639
2,3,1.8369202486771166,0.6151154497937277
2,4,1.8485334727832223,0.6239518324953791
2,5,1.8602892248250003,0.6326772096137625
2,6,1.8721848199363225,0.6412923561291322
2,7,1.884217609513296,0.6497980930187531
3,-8,1.719628157480564,0.5103442907452871
3,-7,1.7294857617222523,0.5204350496127061
3,-6,1.7395174618266986,0.5304104288565185
3,-5,1.7497202633564028,0.5402704448553937
3,-4,1.7600911908193848,0.5500152033281617
3,-3,1.7706272899738102,0.5596448950891106
3,-2,1.7813256299733635,0.5691597918296767
3,-1,1.7921833053569045,0.5785602419405687
3,0,1.8031974378863784,0.5878466663870554
3,1,1.814365178237281,0.5970195546488319
3,2,1.825683707546299,0.606079460734641
3,3,1.8371502388209844,0.6150269992806093
3,4,1.8487620182165145,0.6238628417401104
3,5,1.8605163261847504,0.632587712671869
3,6,1.8724104785009081,0.6412023861319863
3,7,1.8844418271732348,0.649707682174595
4,-8,1.719972092796857,0.5102323513256172
4,-7,1.7298277370882915,0.5203217474194554
4,-6,1.7398574654264065,0.530295824818092
4,-5,1.7500582847436823,0.540154598843249
4,-4,1.76042722087566,0.5498981741120863
4,-3,1.7709613208650266,0.5595267402978531
4,-2,1.7816576551066143,0.5690405679167093
4,-1,1.7925133193368465,0.5784400041547604
4,0,1.803525436471579,0.5877254687480206
4,1,1.8146911582966396,0.5968974499267191
4,2,1.826007667015667,0.6059565004341195
4,3,1.8374721766600983,0.6149032336288143
4,4,1.8490819343663492,0.6237383196783027
4,5,1.8608342215253888,0.6324624818505739
4,6,1.8727263548100133,0.6410764929093713
4,7,1.884755687085199,0.6495811716178607
5,-8,1.7204141943148459,0.5100885381307843
5,-7,1.7302673203872283,0.5201761826573134
5,-6,1.740294515304809,0.5301485867483032
5,-5,1.7504927877600638,0.5400057643693723
5,-4,1.7608591652940333,0.5497478187240935
5,-3,1.7713906965997084,0.5593749380215096
5,-2,1.7820844536665483,0.5688873912695446
5,-1,1.7929375337696514,0.5782855241083433
5,0,1.8039470613075097,0.5875697546962381
5,1,1.8151101894926378,0.5967405696597542
5,2,1.8264241018996654,0.6057985201178232
5,3,1.8378860138757245,0.6147442177891573
5,4,1.849493173818168,0.623578331190601
5,5,1.8612428643248038,0.6323015819331786
5,6,1.87313240322194,0.6409147411215257
5,7,1.8851591444756064,0.6494186258614202
6,-8,1.7209543863798367,0.5099129326102801
6,-7,1.7308044372487608,0.5199984372036304
6,-6,1.7408285383690147,0.5299687968948888
6,-5,1.7510237005820337,0.5398240239965325
6,-4,1.7613869535113515,0.5495642199887507
6,-3,1.7719153478651286,0.559189571295333
6,-2,1.7826059575800817,0.5687003450851261
6,-1,1.793455881810311,0.5780968851130585
6,0,1.804462246764947,0.5873796076134331
6,1,1.815622207398885,0.5965489972568918
6,2,1.8269329489611819,0.6056056031812044
6,3,1.8383916884059284,0.6145500351048465
6,4,1.8499956756706217,0.6233829595311777
6,5,1.8617421948272002,0.6321050960499389
6,6,1.8736285651110254,0.6407172137417666
6,7,1.8856521418331644,0.6492201276904477
7,-8,1.7215925766568583,0.5097056340503637
7,-7,1.7314389969040205,0.5197886108678673
7,-6,1.741459445407788,0.5297565555204644
7,-5,1.751650935546235,0.5396094783730246
7,-4,1.7620104994011814,0.5493474788751379
7,-3,1.7725351900597066,0.5589707413468811
7,-2,1.7832220837573767,0.5684795307897536
7,-1,1.7940682818666631,0.5778741887367697
7,0,1.8050709127344555,0.5871551291543924
7,1,1.816227133372916,0.5963228344077002
7,2,1.8275341310082285,0.6053778512989386
7,3,1.8389891244920402,0.6143207871884145
7,4,1.850589365580598,0.6231523062055463
7,5,1.862332140086725,0.631873125556796
7,6,1.874214768909903,0.64048401193618
7,7,1.886234608949799,0.6489857780430984
